id,round,amount,product_name,investment,business_id,credit_code,name,update_time,date
1,A轮,5300万,,"腾讯产业共赢基金
元生资本
时代资本
KTB投资集团",,91110105MA00GUJG8D,北京每日优鲜便利购电子商务有限公司,2020-06-17 20:02:41,
2,B轮,14400万,,"鼎晖投资
北极光创投
启明创投
君联资本
微光创投
光源资本",,91110105MA00GUJG8D,北京每日优鲜便利购电子商务有限公司,2020-06-17 20:02:41,
3,A轮,金额未知,,"梅花创投
凤凰祥瑞",,91110114MA017DFY5A,北京浩美生活信息技术有限公司,2020-06-17 20:02:41,
4,战略投资,金额未知,,杨浩涌,,91110114MA017DFY5A,北京浩美生活信息技术有限公司,2020-06-17 20:02:41,
5,A轮,金额未知,,创梦创投,,91110114080536525T,北京天正颐和投资管理有限公司,2020-06-17 20:02:41,
6,天使轮,1600万,,"峰瑞资本
真格基金
金沙江创投
1号公路",,91110112MA005XBUXF,北京蜂巢互保网络科技有限公司,2020-06-17 20:02:41,
7,-,金额未知,,道东（北京）投资,,91110112306564933Y,北京西果教育科技有限责任公司,2020-06-17 20:02:41,
8,天使轮,金额未知,,水木资本,,91110108MA01D2TN70,北京华御健康管理有限公司,2020-06-17 20:02:41,
9,被收购,金额未知,,波场,,91110108MA01BT9Q7F,北京币用宝科技有限公司,2020-06-17 20:02:41,
10,种子轮,300万,,个人投资人,,91110108MA01AJWG9P,北京万物起源科技有限公司,2020-06-17 20:02:41,
11,天使轮,金额未知,,"民享财富
中信信托
聚信尚德",,91110108MA00F9AT4F,北京天链测控技术有限公司,2020-06-17 20:02:41,
12,天使轮,金额未知,,水木资本,,91110108MA00CF329J,北京加饭科技有限公司,2020-06-17 20:02:41,
13,A轮,金额未知,,北京东方汇嘉基金管理,,91110108MA009R528U,北京盯牛科技有限公司,2020-06-17 20:02:41,
14,天使轮,金额未知,,奇伦天佑,,91110108MA004CMK5A,北京三普威盛科技有限公司,2020-06-17 20:02:41,
15,天使轮,金额未知,,"云起资本
金谷融通",,91110108MA003U929M,北京心锐之光信息科技有限公司,2020-06-17 20:02:41,
16,战略投资,金额未知,,"鼎新联合
华胜天成",,91110108783991348U,北京凯悦宁医药科技有限公司,2020-06-17 20:02:41,
17,战略投资,金额未知,,"和光资本
银丰融金（北京）投资管理",,91110108783991348U,北京凯悦宁医药科技有限公司,2020-06-17 20:02:41,
18,-,金额未知,,赛富投资基金,,91110108783991348U,北京凯悦宁医药科技有限公司,2020-06-17 20:02:41,
19,A轮,金额未知,,中关村发展集团,,91110108783991348U,北京凯悦宁医药科技有限公司,2020-06-17 20:02:41,
20,新三板,金额未知,,投资方未知,,9111010866219043X0,北京赢家伟业科技孵化器股份有限公司,2020-06-17 20:02:41,
21,天使轮,金额未知,,金复资本,,91110108358310740G,北京雷平文化传媒有限公司,2020-06-17 20:02:41,
22,Pre-A轮,1000万,,"新势能基金
高达资本",,91110108344350178E,北京泛化智能科技有限公司,2020-06-17 20:02:41,
23,种子轮,金额未知,,"梅花创投
发现创投",,91110108344350178E,北京泛化智能科技有限公司,2020-06-17 20:02:41,
24,天使轮,360万,,高达资本,,91110108344350178E,北京泛化智能科技有限公司,2020-06-17 20:02:41,
25,天使轮,100万,,"58同城
伙伴创投",,91110108339672682U,北京众智人人信息科技有限责任公司,2020-06-17 20:02:41,
26,A轮,金额未知,,星辉投资,,91110108335524308H,北京幽焱科技有限责任公司,2020-06-17 20:02:41,
27,天使轮,150万,,星辉投资,,91110108335524308H,北京幽焱科技有限责任公司,2020-06-17 20:02:41,
28,A轮,金额未知,,泰岳梧桐资本,,911101083183323475,北京高庭科技有限公司,2020-06-17 20:02:41,
29,天使轮,金额未知,,"考拉资本
北京毅诚科技有限公司",,911101083183323475,北京高庭科技有限公司,2020-06-17 20:02:41,
30,天使轮,金额未知,,麒麟游戏,,91110108318247302T,北京科美乐软件有限公司,2020-06-17 20:02:41,
31,A轮,金额未知,,道口投,,91110108318238692L,北京鸿胜嘉德科技有限公司,2020-06-17 20:02:41,
32,天使轮,金额未知,,招诚融智投资,,91110108318238692L,北京鸿胜嘉德科技有限公司,2020-06-17 20:02:41,
33,A+轮,金额未知,,新东方,,91110108318152274K,北京小小牛创意科技有限公司,2020-06-17 20:02:41,
34,A轮,金额未知,,首泰金信,,91110108318152274K,北京小小牛创意科技有限公司,2020-06-17 20:02:41,
35,天使轮,100万,,"红石诚金
龙渊云腾",,91110108318152274K,北京小小牛创意科技有限公司,2020-06-17 20:02:41,
36,Pre-A轮,1000万,,追远创投,,91110108318152274K,北京小小牛创意科技有限公司,2020-06-17 20:02:41,
37,A轮,金额未知,,吉富投资,,9111010831811661XF,北京汇涓时代网络科技有限公司,2020-06-17 20:02:41,
38,天使轮,200万,,投资方未知,,9111010831811661XF,北京汇涓时代网络科技有限公司,2020-06-17 20:02:41,
39,天使轮,100万,,探针基金,,9111010831790733XE,人鱼线(北京)科技有限公司,2020-06-17 20:02:41,
40,天使轮,数百万人民币,,和君资本,,911101080785108877,北京麦在家科技有限公司,2020-06-17 20:02:41,
41,天使轮,100万,,清流资本,,911101080695939320,北京选能科技有限公司,2020-06-17 20:02:41,
42,A轮,金额未知,,金科君创,,91110108057308620J,北京志察数据科技有限公司,2020-06-17 20:02:42,
43,天使轮,300万,,乐游资本,,91110108051421542F,北京指尖畅游科技有限公司,2020-06-17 20:02:42,
44,天使轮,金额未知,,"九弦资本
泽能资本
兴安盟昊龙",,91110108051402368G,北京新安芯合科技有限公司,2020-06-17 20:02:42,
45,天使轮,100万,,投资方未知,,91110105MA018DBG85,北京猫小侠智能科技有限公司,2020-06-17 20:02:42,
46,天使轮,500万,,梅花创投,,91110105MA00BNGR2X,北京月付科技有限公司,2020-06-17 20:02:42,
47,种子轮,50万,,投资方未知,,91110105MA00AXK25B,北京盈格天骋科技有限公司,2020-06-17 20:02:42,
48,天使轮,100万,,投资方未知,,91110105MA003A3U5T,北京呢咖印象文化有限公司,2020-06-17 20:02:42,
49,B轮,金额未知,,京西晨辉（北京）互联网产业投资管理,,91110105MA0010555P,北京维艰科技有限责任公司,2020-06-17 20:02:42,
50,A+轮,金额未知,,紫辉创投,,91110105MA0010555P,北京维艰科技有限责任公司,2020-06-17 20:02:42,
51,Pre-A轮,100万,,投资方未知,,91110105MA0010555P,北京维艰科技有限责任公司,2020-06-17 20:02:42,
52,A轮,1000万,,北极光创投,,91110105MA0010555P,北京维艰科技有限责任公司,2020-06-17 20:02:42,
53,天使轮,100万,,云起资本,,91110105MA0010555P,北京维艰科技有限责任公司,2020-06-17 20:02:42,
54,C轮,1000万,,Benchmark,,911101055808541407,北京赤龙世漫文化传播有限公司,2020-06-17 20:02:42,
55,天使轮,1000万,,创东方投资,,911101055808541407,北京赤龙世漫文化传播有限公司,2020-06-17 20:02:42,
56,B轮,350万,,"BVP
Mangrove",,911101055808541407,北京赤龙世漫文化传播有限公司,2020-06-17 20:02:42,
57,D轮,4000万,,"Benchmark
Insight Venture Partners
DAG Ventures",,911101055808541407,北京赤龙世漫文化传播有限公司,2020-06-17 20:02:42,
58,A轮,500万,,"BVP
Mangrove",,911101055808541407,北京赤龙世漫文化传播有限公司,2020-06-17 20:02:42,
59,被收购,金额未知,,优客工场,,91110105357924361H,北京大观建筑设计咨询有限公司,2020-06-17 20:02:42,
60,A轮,金额未知,,"优客工场
优享创智",,91110105357924361H,北京大观建筑设计咨询有限公司,2020-06-17 20:02:42,
61,天使轮,金额未知,,柯罗尼基金,,911101053552218731,北京小竺映画文化传播有限公司,2020-06-17 20:02:42,
62,天使轮,100万,,投资方未知,,91110105327309915R,北京明趣科技有限公司,2020-06-17 20:02:42,
63,天使轮,50万,,投资方未知,,9111010531834249XG,北京看我文化创意有限公司,2020-06-17 20:02:42,
64,天使轮,100万,,好未来,,91110105318393596W,北京爱听网络科技有限公司,2020-06-17 20:02:42,
65,Pre-A轮,1300万,,梦想家资本,,91110105089630470Q,北京尤果网文化传媒有限公司,2020-06-17 20:02:42,
66,天使轮,100万,,投资方未知,,91110105089630470Q,北京尤果网文化传媒有限公司,2020-06-17 20:02:42,
67,天使轮,100万,,创业工场,,91110105082820589D,北京中科汇能科技有限公司,2020-06-17 20:02:42,
68,-,金额未知,,北京红石资本,,91110105MA002JK740,北京天玺龙阁服装服饰有限公司,2020-06-17 20:02:42,
69,IPO,金额未知,,公开发行,,9111011234429564X2,股家(北京)科技有限公司,2020-06-17 20:02:42,
70,A轮,100万,,壹壹天使,,9111011234429564X2,股家(北京)科技有限公司,2020-06-17 20:02:42,
71,A轮,金额未知,,宁波梅山保税港区宇英泽君投资合伙企业（有限合伙）,,91110108MA003WWG5T,嘿呗网络科技(北京)有限公司,2020-06-17 20:02:42,
72,天使轮,金额未知,,中科招商,,91110108554820588L,顾唯(北京)文化交流有限公司,2020-06-17 20:02:42,
73,天使轮,金额未知,,海淀园创业中心,,91110108339815321X,嘉远未来数字科技(北京)有限公司,2020-06-17 20:02:42,
74,Pre-A轮,金额未知,,中一资本,,911101083064055965,智擎信息技术(北京)有限公司,2020-06-17 20:02:42,
75,天使轮,金额未知,,"青山资本
九合创投",,911101083064055965,智擎信息技术(北京)有限公司,2020-06-17 20:02:42,
76,天使轮,金额未知,,德迅投资,,9111010805561574XH,泽熙天成(北京)科技有限公司,2020-06-17 20:02:42,
77,B轮,金额未知,,金沙江创投,,91110106076575708M,北京一匡天下网络科技有限公司,2020-06-17 20:02:42,
78,-,金额未知,,亦庄国投,,91110105MA00GBW59A,领信智链(北京)科技有限公司,2020-06-17 20:02:42,
79,A轮,10000万,,"天图资本
广发信德
瀚泽资本",,911101055769365061,瑞旗美林(北京)商贸有限公司,2020-06-17 20:02:42,
80,天使轮,220万,,投资方未知,,91110105330353220M,必胜国际体育文化(北京)有限公司,2020-06-17 20:02:42,
81,天使轮,100万,,投资方未知,,91110228MA001B264K,北京维创企业管理有限公司,2020-06-17 20:02:42,
82,Pre-A轮,1000万,,"巴特恩资本
正念资本
AC加速器
小樱桃基金",,91110228MA001B264K,北京维创企业管理有限公司,2020-06-17 20:02:42,
83,天使轮,500万,,投资方未知,,911101165674145622,北京唯吾科技有限公司,2020-06-17 20:02:42,
84,A轮,金额未知,,北京贸通投资管理有限责任公司,,911101120716542205,北京淘气宝玩具贸易有限公司,2020-06-17 20:02:42,
